account_id,account_name,page_or_group,repeat_vs_free,june_drop
1871250949787828,Tucker Carlson Fan Club,group,136%,-62%
311787416217608,The Daily Ledger,group,-49%,-44%
1595615977432403,President Donald J Trump,group,53%,-29%
151139661996942,#ActivistsUnited For Transparent Democracy,group,-10%,-14%
192438634563478,Friends Who Like Rush Limbaugh,group,294%,59%
59361963791,"Republicans giving time, sweat & treasure to elect Republicans!",group,22%,-63%
338240510018594,CUBANOS FOR TRUMP RESISTENCIA,group,48%,-69%
303271086463926,Trump Nation,group,39%,-53%
235623273293401,What's Happening in America?,group,-39%,174%
366797700397627,The Conservative Hammer Group,group,2%,-66%
289625811478302,CNN is FAKE News ! So is MSNBC and the rest of the Mainstream Media !!,group,49%,-71%
164682444240169,Pissed off Deplorables,group,-42%,285%
1671599213166390,All Things #trumpvictory,group,25%,46%
1257774710943859,PATTENS LEGAL KINDERGARTEN,group,-47%,-51%
168922880321611,THE PATRIOT CONNECTION,group,26%,-45%
303162826872805,YourVoice America Group,group,1%,-67%
231727124074429,Through the looking-glass Memes for all occasions.,group,43%,-65%
341352056788212,Make Hawaii Red Again,group,,40%
2038097046447213,Alaskan Political Stew,group,-38%,98%
2180575485501986,Trumps Army,group,-54%,10%
488901594645666,LOU DOBBS ROCKS!  Tell us why you love LOU!,group,20%,-70%
850877371659944,Donald Trump For President,group,26%,15%
205772959864352,"Warren's real, UNCENSORED, Breaking News",group,-16%,-51%
1295528243825961,WOLVES DECEIVING THE SHEEP,group,-17%,-29%
359980860754987,"I Grew Up In Hartford, CT",group,-16%,-51%
212192625481868,End Times Prophecy Blog and Website,group,9%,-4%
1610885835886412,Patriots For America,group,-24%,25%
403459696517624,Trump Truth,group,9%,-79%
186913801879932,Trumps Deplorables,group,27%,-82%
1658513994463392,Making America Great Again,group,38%,57%
1070320463032115,DONALD TRUMP 'OFFICE OF THE FORMER PRESIDENT',group,-35%,-46%
795288347198413,THE UNFORTUNATE TRUTH,group,-57%,-47%
207176204353,Andrew Breitbart- King of the New Media,group,44%,-73%
557034710993039,Republicans of the Great State of Arizona,group,5%,-40%
495711547109399,Conspiracy Theory And World News,group,-73%,40%
113523748745557,You Know You From South Dallas If.....,group,3%,-52%
681458852012045,TRUMPNATIONUSA - Pray & Vote,group,-25%,-19%
1668178316779266,Republican California Residents,group,26%,-83%
1632281433703334,Pierre Poilievre for Prime Minister,group,17%,-47%
1717315658496307,TRUMP '45' ONLINE RALLY GROUP,group,214%,-77%
1357597630932022,SPEAKERS CORNER - Oppmøte for livet,group,-37%,43%
333384500806424,The Jaramillo Report,group,-15%,19%
209071863318,Oglala Lakota Sioux Nation,group,-72%,15%
384880205471111,Nothing To See Here Group,group,-48%,-74%
2588566508138627,"Del Norte County ""REAL"" News and Events!",group,,0%
238041810027320,Free Press Deplorables,group,-26%,99%
2220464436,KFI AM 640 - More Stimulating Talk Radio,group,37%,-67%
441333919315986,Snopes Tips,group,7%,-47%
291431865404194,Chris Salcedo,group,,
844102445676345,AUSTRALIA'S FUTURE EXPOSED.,group,10%,48%
2620711528024018,Flip US Red,group,-22%,-61%
308817769843702,Terra Australis New Holland and Surrounding Waters,group,-48%,-74%
1649848225293833,Corbett Report,group,9%,-63%
272532370137767,CanadaElectionVoice,group,132%,-22%
401692379972933,FOOD FOR THOUGHT & LIFE,group,-37%,297%
478993662908592,WOMEN for TRUMP FLORIDA,group,-83%,-58%
788539907976820,Last American Patriots Group,group,-38%,7%
1670015569936635,Real Californians For Donald Trump,group,6%,-58%
2416253076,Listeners of Chaz & AJ In The Morning,group,33%,-51%
111838668861624,KAREN KELLOCK THEORIES,group,127%,213%
189045861981426,NewsMax Reports,group,598%,20%
1747475515393665,Canadian Freedom Fighters,group,10%,-73%
162476884549258,European Hidden Truths & Cover-ups,group,-47%,27%
443088259580504,DRAYTON VALLEY ALBERTA OPEN MY OPINION PAGE,group,-36%,57%
515011145341287,DONALD TRUMP OFFICE OF THE FORMER PRESIDENT OF THE UNITED STATES,group,-15%,-67%
266114287177910,1SUNN.COM UnFiltered News & PODCAST SHOW,group,0%,134%
459108757815421,SECURED PARTY CREDITORS-HFR,group,-3%,-65%
116343415696041,Капитализм против коммунизма 2,group,16%,-53%
2000672516650620,Save America President Donald J Trump,group,22%,45%
514128305321781,NO WIND TURBINES,group,-22%,60%
185941795372578,Conservative People,group,37%,6%
1380087578889370,Brian Kelly's News Room,group,8%,29%
1840729292830863,Moving Forward-Supporting Trump the 46th President,group,-48%,-2%
270594613779062,Army of Deplorables,group,-2%,579%
1822252701332840,Conservative Friends,group,-5%,123%
1000555683297057,Florida for Trump (People President),group,,65%
101694276589435,The Churning Cauldron,group,-37%,20%
131313861303290,"Coronavirus Pandemic (Latest news, information & discussion)",group,-21%,-77%
719900185047252,Accepted GENOCIDE,group,31%,-24%
1760664444235486,Conservative Nation Community,group,23%,-53%
143385436498713,AMERICA: LOVE IT OR LEAVE IT!,group,100%,162%
113319219305126,The Deplorables Army,group,49%,-42%
118018715518646,Klimatsans,group,60%,-26%
2266266336,Rapture: Jerusalem is the Key,group,-46%,28%
2211289462451090,Overheard in Leelanau County Uncensored,group,54%,-32%
1682126425410003,Trumpettes of America ( National Members Page ),group,-36%,86%
547882985385218,EKKLESIA OF YAHUAH,group,-12%,15%
1662527337207471,Det Gode Liv,group,-21%,202%
2098968433466112,Trump Daily Report,group,87%,-10%
168761857223096,CAPTAIN HOOKE'S CONSPIRACY RESEARCH,group,-8%,17%
2430403090357235,AUSTRALIA UNCENSORED,group,-14%,69%
218911275030,"No time for war, children are suffering",group,318%,-72%
310222635809633,AUSTIN LAURENS PREPPER,group,12%,238%
313808225298016,News You Won't See In Mainstream Media: Orbis Vitae,group,-9%,77%
1960859004133003,Fox News Live Stream,group,-49%,-24%
756426164423200,GLOBAL LIBERATION THROUGH DISCLOSURE PROJECT,group,-59%,389%
824255991114934,5G & Microwave Radiation,group,79%,-33%
283042498402660,On the Politics of Language and Culture,group,-32%,465%
1764879783747824,PRESIDENT TRUMP,group,40%,-75%
156329715812617,TEA PARTY 2.0,group,,
321628881754272,Fay's Chat Room,group,28%,-52%
576465103077732,Trumpians,group,,
172087664497,Conservative Hispanic Society,group,11%,-51%
251758156221651,Illinois Citizens Against Government Overreach,group,-20%,-72%
1848842758573144,Red2020Wave,group,,
2140407119415573,Wise County Pro Conservative Political views,group,84%,-24%
5002674801,Puertorriqueños en Orlando y Kissimmee,group,23%,-78%
1723797901191836,"Peace, Love, Music and Positivity ~ Namaste Worldwide Hippies Friends",group,-25%,192%
2210441658,Laura Ingraham fan club,group,9%,-77%
904684696312100,Donald trump is  hated,group,-22%,-56%
214405235431273,Zambian Scorpion,group,71%,-87%
355527748791121,Truther News,group,,
1881543292065692,Tweeting Trump,group,-5%,-71%
741748475969323,WAKE UP PEOPLE😴 All Is Not What It Seems!!,group,41%,-15%
1512346472333229,Burgerbescherming tegen leugens van overheid en systeem,group,-8%,-48%
699805287066230,Zero Confidence for Justin Trudeau and The Liberal Party of Canada!,group,71%,-62%
1335764869847362,Trump Supporters United 2020,group,-39%,19%
664497556959538,BO YESHUA BO,group,-8%,-1%
220994651844070,Conservative Rebels for America,group,27%,-41%
451316558902635,Virginia Patriots,group,45%,-41%
420228668983974,The World Freedom Alliance,group,,
1659160327431099,NO CANADIAN DICTATORSHIP,group,-39%,19%
1794662710783526,"Trump - Florida-Georgia-Alabama, People's Grassroots Campaign",group,-8%,19%
2657178784602772,SaveNJ,group,,43%
3684690078224943,Turn Facebook RED,group,,
366850971234151,American Patriots!,group,,
414571332318865,Conservative Bless,group,-17%,-39%
4095878010485385,Resist The Mandate,group,,
465882920916933,🇺🇸TRUMP 2020 - KEEP AMERICA GREAT🇺🇸,group,17%,60%
439921809487771,Truth in Media (non-profit org),group,49%,3%
1532843750172083,The WINNING Trump Deplorables,group,-55%,-9%
507832316245129,Wat je niet ziet op TV - Discussie Groep,group,206%,-80%
1677160655854877,TAMFAM app - Tambourine Radio and TamFamTV Classroom,group,-9%,-7%
870069813005345,The Hard Truth (THT),group,1%,-5%
249737712366265,Sanders County Political 411,group,-4%,-32%
